time(sec),Ewe(V),Q-Q0(mAh),I(mA),cycle#,Ece (V)
0.0,-0.6671149134635925,3.029539398180358e-17,0.0,0,-0.5627885460853577
3.9999998989515007e-05,-0.6688469052314758,6.729963963044095e-17,9.251062372747643e-10,0,-0.5631311535835266
0.00011999999696854502,-0.6710736751556396,-3.6062990159228814e-14,-9.040146409233785e-07,0,-0.5614181160926819
0.00023999999393709004,-0.6721014380455017,-1.4529948967091644e-13,-9.113943488792131e-07,0,-0.5624459385871887
0.00043999998888466507,-0.6731292009353638,-3.2796077594106354e-13,-9.145811330490972e-07,0,-0.5624459385871887
0.0006799999828217551,-0.674156904220581,-5.480204506337627e-13,-9.185225358088189e-07,0,-0.5624459385871887
0.0009599999757483602,-0.6751846671104431,-8.058373846681066e-13,-9.226317487787128e-07,0,-0.5634737610816956
0.0011999999696854502,-0.6762123703956604,-1.027708408825323e-12,-9.257345445767839e-07,0,-0.5638163685798645
0.0015599999605910853,-0.6774114370346069,-1.3619322683511292e-12,-9.305146098093076e-07,0,-0.5645016431808472
0.0019999999494757503,-0.6786104440689087,-1.7726434469594876e-12,-9.357139507670809e-07,0,-0.5662146806716919
0.0023199999413918704,-0.6798095107078552,-2.072746054654351e-12,-9.394037769894226e-07,0,-0.5675851106643677
0.0027199999312870204,-0.6808372139930725,-2.4493764221728e-12,-9.433452907714468e-07,0,-0.5686129331588745
0.0032799999171402305,-0.6818649768829346,-2.979330324115459e-12,-9.489639074544698e-07,0,-0.5696407556533813
0.0036399999080458656,-0.6830639839172363,-3.321521009624906e-12,-9.516474275272913e-07,0,-0.5716964602470398
0.004239999892888591,-0.6840917468070984,-3.894246904112553e-12,-9.56930645834575e-07,0,-0.576492965221405
0.005039999872678891,-0.6854620575904846,-4.662344295358611e-12,-9.625493735399004e-07,0,-0.581632137298584
0.005719999855500646,-0.6864898204803467,-5.3185181952963845e-12,-9.668261746753615e-07,0,-0.5840303897857666
0.006519999835290946,-0.687517523765564,-6.093864562267681e-12,-9.71103086833125e-07,0,-0.5843729972839355
0.007639999806997366,-0.688545286655426,-7.184602739129797e-12,-9.762186614636903e-07,0,-0.5901973843574524
0.008319999789819121,-0.6895729899406433,-7.849293263972879e-12,-9.7881824867585e-07,0,-0.5898547768592834
0.008999999772640876,-0.6906007528305054,-8.515527692709579e-12,-9.80579395459813e-07,0,-0.5905399918556213
0.009519999759504572,-0.6917997598648071,-9.02586425738372e-12,-9.820888546840933e-07,0,-0.5888269543647766
0.010039999746368267,-0.6928275227546692,-9.53686955795785e-12,-9.830951608336136e-07,0,-0.5871139168739319
0.010679999730200507,-0.6938552856445312,-1.0166664385358182e-11,-9.846047310801964e-07,0,-0.5847156047821045
0.011239999716053717,-0.6948829889297485,-1.071837844174306e-11,-9.858626137670967e-07,0,-0.5840303897857666
0.011839999700896442,-0.6960820555686951,-1.1310154202082146e-11,-9.869528527772786e-07,0,-0.5819747447967529
0.012399999686749652,-0.6971097588539124,-1.1863008839152478e-11,-9.874560058520387e-07,0,-0.5799190998077393
0.012759999677655287,-0.6983088254928589,-1.221854648708609e-11,-9.878752260661372e-07,0,-0.5758077502250671
0.013439999660477042,-0.6993365287780762,-1.2890567085976912e-11,-9.886299556782774e-07,0,-0.5737521052360535
0.013799999651382677,-0.7003642916679382,-1.3246600864824654e-11,-9.892170416136992e-07,0,-0.5723816752433777
0.014599999631172977,-0.7013919949531555,-1.4038276617556189e-11,-9.899717712258393e-07,0,-0.5696407556533813
0.015079999619047157,-0.7024197578430176,-1.4513671514615467e-11,-9.906426789996203e-07,0,-0.5679277181625366
0.015479999608942308,-0.7034475207328796,-1.4909894499592902e-11,-9.907265008379795e-07,0,-0.565529465675354
0.015999999595806003,-0.7046465277671814,-1.5425216659537e-11,-9.909780773753596e-07,0,-0.5631311535835266
0.016479999583680183,-0.7056742906570435,-1.5901120697936477e-11,-9.91565052288479e-07,0,-0.5624459385871887
0.017079999568522908,-0.7067019939422607,-1.6496250546116364e-11,-9.921521382239007e-07,0,-0.5617607235908508
0.017719999552355148,-0.708072304725647,-1.713152016080688e-11,-9.930746225350617e-07,0,-0.5638163685798645
0.018559999531134963,-0.7092713713645935,-1.796603144033071e-11,-9.939131739855611e-07,0,-0.5662146806716919
0.019439999508904293,-0.7104703783988953,-1.8841117901957638e-11,-9.948356582967222e-07,0,-0.5679277181625366
0.02595999934419524,-0.7114981412887573,-2.5345510412666528e-11,-9.990287486161264e-07,0,-0.5895121693611145
0.026879999320954084,-0.7125258445739746,-2.626435527397497e-11,-9.988609939171056e-07,0,-0.5871139168739319
0.028319999284576625,-0.7135536074638367,-2.7702194704826155e-11,-9.982739079816838e-07,0,-0.5826599597930908
