time(sec),Ewe(V),Q-Q0(mAh),I(mA),cycle#,Ece (V)
0.0,-1.0248315334320068,9.611113785968237e-19,0.0,0,-1.0000256299972534
3.9999998989515007e-05,-1.026428461074829,4.7175764695124274e-18,3.3808185743132435e-10,0,-1.0000256299972534
0.00011999999696854502,-1.0288265943527222,-1.0083654304223886e-14,-9.083754304306524e-07,0,-1.0003682374954224
0.00015999999595806003,-1.0230027437210083,6.350864073697254e-17,9.132447575943559e-07,0,-1.0003682374954224
0.00039999998989515007,-1.0219749212265015,6.088405438687218e-14,9.142510082327249e-07,0,-0.9996829628944397
0.0005999999848427251,-1.0207759141921997,1.1178386413850569e-13,9.173538595419473e-07,0,-1.0010534524917603
0.0009999999747378752,-1.0194056034088135,2.140735957280084e-13,9.230564090856319e-07,0,-1.0007108449935913
0.0011999999696854502,-1.0183779001235962,2.654458202241663e-13,9.257399291584534e-07,0,-0.9996829628944397
0.0015199999616015702,-1.017350196838379,3.4795279239868384e-13,9.300168968273681e-07,0,-1.0000256299972534
0.0017999999545281753,-1.0161510705947876,4.2042905735736267e-13,9.333712691628193e-07,0,-1.0007108449935913
0.0019599999504862353,-1.0151233673095703,4.619541511471925e-13,9.349646612477613e-07,0,-1.0000256299972534
0.0021599999454338104,-1.0139243602752686,5.139636907620464e-13,9.369772735468018e-07,0,-1.002081274986267
0.0023999999393709004,-1.0128966569900513,5.765351063070758e-13,9.394931499429049e-07,0,-1.0013960599899292
0.0025599999353289604,-1.01169753074646,6.183406771755822e-13,9.411703638662061e-07,0,-1.002423882484436
0.0028399999282555655,-1.0104985237121582,6.916685829407484e-13,9.438538839390276e-07,0,-1.0017386674880981
0.0030799999221926555,-1.0092995166778564,7.546787991983643e-13,9.460342509370889e-07,0,-1.0034517049789429
0.0033199999161297455,-1.0079292058944702,8.178353827492657e-13,9.482146179351503e-07,0,-1.0041369199752808
0.0036399999080458656,-1.006901502609253,9.022403411769002e-13,9.508143161696125e-07,0,-1.0051647424697876
