time(sec),Ewe(V),Q-Q0(mAh),I(mA),cycle#,Ece (V)
0.0,2.178030252456665,-1.3693269209436862e-14,0.0,0,0.00028798240236938
3.9999998989515007e-05,2.3866360187530518,-2.785882140271746e-14,-1.274899741332547e-06,0,-5.462783155962825e-05
7.999999797903001e-05,2.390746831893921,-4.1079806687162867e-14,-1.1898886320693691e-06,0,0.00028798240236938
0.00011999999696854502,2.3981122970581055,-4.749989855776315e-14,-5.778083012053514e-07,0,-0.0003972380654886365
0.00015999999595806003,2.3965706825256348,-6.82774285243673e-14,-1.8699777282193963e-06,0,-0.0003972380654886365
0.00019999999494757503,2.38577938079834,-1.1984788884690975e-13,-4.641341533329069e-06,0,0.00028798240236938
0.00023999999393709004,2.375502109527588,-1.9276560479015222e-13,-6.562594023762358e-06,0,-0.0003972380654886365
0.00027999999292660505,2.3657386302948,-2.8400793363493143e-13,-8.211809898739375e-06,0,-5.462783155962825e-05
0.00031999999191612005,2.3561463356018066,-3.8649063815277305e-13,-9.223443342420978e-06,0,-0.0007398482994176447
0.00035999999090563506,2.3479244709014893,-4.977578197226354e-13,-1.0014046480932848e-05,0,-0.0003972380654886365
0.00039999998989515007,2.3513503074645996,-5.90700388390961e-13,-8.364829717777411e-06,0,-0.001082458533346653
0.00043999998888466507,2.3551185131073,-6.656017124422197e-13,-6.7411174420328734e-06,0,-0.0003972380654886365
0.0004799999878741801,2.358886957168579,-7.272790225956727e-13,-5.550961024169965e-06,0,0.00028798240236938
0.0005199999868636951,2.3624839782714844,-7.788495205641239e-13,-4.641341533329069e-06,0,-0.0007398482994176447
0.0005599999858532101,2.3662524223327637,-8.217298971862877e-13,-3.859238706382939e-06,0,-0.0007398482994176447
0.0005999999848427251,2.369849443435669,-8.582817254941996e-13,-3.289664318728569e-06,0,-0.0007398482994176447
0.0006399999838322401,2.3736178874969482,-8.898273707375676e-13,-2.839105173180201e-06,0,-5.462783155962825e-05
0.0006799999828217551,2.3763585090637207,-9.164612187388523e-13,-2.3970470053313875e-06,0,-0.0007398482994176447
0.0007199999818112701,2.379613161087036,-9.39316802869387e-13,-2.0570025682786763e-06,0,-5.462783155962825e-05
0.0007599999808007851,2.3830387592315674,-9.599054407241625e-13,-1.8529756617979842e-06,0,-0.0003972380654886365
0.0007999999797903001,2.38577938079834,-9.781326260138107e-13,-1.6404478886400398e-06,0,-0.0003972380654886365
0.0008399999787798151,2.389376640319824,-9.94848493708468e-13,-1.5044299139788109e-06,0,-0.0007398482994176447
0.0008799999777693301,2.3926310539245605,-1.0111865771794681e-12,-1.4704254480690793e-06,0,-0.0007398482994176447
0.0009199999767588452,2.396228075027466,-1.0261077288779379e-12,-1.3429086731520101e-06,0,-0.0007398482994176447
0.0009599999757483602,2.39982533454895,-1.0403677581850075e-12,-1.2834009410767067e-06,0,-0.0003972380654886365
0.0009999999747378752,2.4025659561157227,-1.0545333414361628e-12,-1.274899741332547e-06,0,-0.0007398482994176447
0.0010399999737273902,2.405649185180664,-1.0672819929147877e-12,-1.1473830774377802e-06,0,-0.0007398482994176447
0.0010799999727169052,2.4089035987854004,-1.0794639680579267e-12,-1.096376434084334e-06,0,-0.0007398482994176447
0.0011199999717064202,2.411986827850342,-1.0914570510892371e-12,-1.079374145618317e-06,0,-5.462783155962825e-05
0.0011599999706959352,2.415583848953247,-1.1034501341205477e-12,-1.079374145618317e-06,0,-0.0003972380654886365
0.0011999999696854502,2.4184958934783936,-1.1153486506290358e-12,-1.0708729458741573e-06,0,-0.0003972380654886365
0.0012399999686749652,2.421579122543335,-1.127247287604432e-12,-1.0708729458741573e-06,0,-0.0007398482994176447
0.0012799999676644802,2.425689935684204,-1.1395237088034854e-12,-1.1048775228061913e-06,0,-0.0003972380654886365
0.0013199999666539952,2.4292871952056885,-1.1519890221143674e-12,-1.121879700249906e-06,0,-5.462783155962825e-05
0.0013599999656435102,2.4332268238067627,-1.1649266861717288e-12,-1.1643852548814948e-06,0,-0.0007398482994176447
0.0013999999646330252,2.435967445373535,-1.1782421344527475e-12,-1.1983897207912264e-06,0,0.0006305926362983882
0.0014399999636225402,2.4393932819366455,-1.19023509701715e-12,-1.079374145618317e-06,0,-0.0007398482994176447
0.0014799999626120552,2.442990303039551,-1.2021337339925462e-12,-1.0708729458741573e-06,0,-5.462783155962825e-05
0.0015199999616015702,2.4455597400665283,-1.2140322505010343e-12,-1.0708729458741573e-06,0,-0.001082458533346653
0.0015599999605910853,2.4484715461730957,-1.2250807525062937e-12,-9.943629253328368e-07,0,-5.462783155962825e-05
0.0015999999595806003,2.451554775238037,-1.2364125926792961e-12,-1.019866302520711e-06,0,-5.462783155962825e-05
0.0016399999585701153,2.4544668197631836,-1.24755554074047e-12,-1.002864014054694e-06,0,-0.0007398482994176447
0.0016799999575596303,2.45772123336792,-1.2586040427457294e-12,-9.943629253328368e-07,0,-0.0003972380654886365
0.0017199999565491453,2.4601192474365234,-1.269085747948595e-12,-9.433562819793906e-07,0,-0.0007398482994176447
0.0017599999555386603,2.463202476501465,-1.2800398038979404e-12,-9.858618366109795e-07,0,-0.0007398482994176447
0.0017999999545281753,2.4649155139923096,-1.2900492788212347e-12,-9.008507273478017e-07,0,-5.462783155962825e-05
0.0018399999535176903,2.467484712600708,-1.299491956942135e-12,-8.498440284832043e-07,0,-0.0003972380654886365
0.0018799999525072053,2.4695403575897217,-1.3086512968952925e-12,-8.243407068064812e-07,0,-0.0007398482994176447
0.0019199999514967203,2.471766948699951,-1.3176217447366215e-12,-8.073384738516154e-07,0,-0.0014250688254833221
0.0019599999504862353,2.473822593688965,-1.3252697068613342e-12,-6.883228431675548e-07,0,-0.0003972380654886365
0.0019999999494757503,2.4748501777648926,-1.3324455591733836e-12,-6.458172330248146e-07,0,-5.462783155962825e-05
0.0020399999484652653,2.4760491847991943,-1.3389600481602168e-12,-5.863093899272087e-07,0,-0.0007398482994176447
0.0020799999474547803,2.477248191833496,-1.344530076587907e-12,-5.012982806640309e-07,0,-0.0003972380654886365
0.0021599999454338104,2.4794750213623047,-1.3544420937825856e-12,-4.41790437566425e-07,0,-0.0007398482994176447
