time(sec),Ewe(V),I(mA),cycle #,Ece(V)
0.00010199999815085903,0.6451400518417358,4.330229064208879e-06,0,-1.0480093955993652
0.030242999451729702,0.0006730119930580258,-1.2974643581742384e-06,0,-1.0442407131195068
0.08047799854102777,-0.008837521076202393,-5.880960163295867e-07,0,-1.0456111431121826
0.09057599835796282,-0.018041541799902916,-3.318896824033857e-07,0,-1.032934546470642
0.10062299817582243,-0.009832433424890041,-3.2518593373609406e-07,0,-1.0445833206176758
0.11066999799368205,-0.011360245756804943,-1.9496311509659137e-07,0,-1.04012930393219
0.12071699781154166,-0.009407782927155495,-2.586692249284539e-07,0,-1.0360180139541626
0.13076399762940127,-0.006352157797664404,-2.9645222388019477e-07,0,-1.0459537506103516
0.1408109974472609,-0.014978992752730846,-2.2181628756001714e-07,0,-1.033962368965149
0.1508579972651205,-0.009698575362563133,-3.313331276011411e-07,0,-1.0435553789138794
0.16090499708298012,-0.014309708960354328,-2.3511453894897727e-07,0,-1.0411571264266968
0.17095199690083973,-0.015818048268556595,-2.588331216024642e-07,0,-1.0363606214523315
0.18099899671869935,-0.013021553866565228,-2.628898765344445e-07,0,-1.0466389656066895
0.19104599653655896,-0.021084977313876152,-1.5887388626900645e-07,0,-1.033277153968811
0.201143996353494,-0.014939757995307446,-2.6847071787905463e-07,0,-1.0442407131195068
0.21119099617135362,-0.018387723714113235,-1.9168745757358607e-07,0,-1.0425275564193726
0.22123799598921323,-0.020695596933364868,-2.1659152249497993e-07,0,-1.0356754064559937
0.23128499580707285,-0.017649203538894653,-2.379175190192484e-07,0,-1.0466389656066895
0.24133199562493246,-0.025943703949451447,-1.3112230745626618e-07,0,-1.0346475839614868
0.2513789954427921,-0.020224791020154953,-2.3824026085250694e-07,0,-1.0432127714157104
0.2614259952606517,-0.023238874971866608,-1.6448103989930019e-07,0,-1.0411571264266968
0.2714729950785113,-0.026211488991975784,-1.7674929575495213e-07,0,-1.0353327989578247
0.2815199948963709,-0.022505834698677063,-2.0933962896485525e-07,0,-1.0469815731048584
0.29156699471423053,-0.03080487996339798,-1.0118565707539773e-07,0,-1.0356754064559937
0.30161399453209015,-0.025283290073275566,-2.1175061704070686e-07,0,-1.0428701639175415
0.3117119943490252,-0.027729997411370277,-1.4812821802490106e-07,0,-1.0428701639175415
0.3217589941668848,-0.03151029720902443,-1.516452935446111e-07,0,-1.0349901914596558
0.3318059939847444,-0.027360737323760986,-1.9751704438686346e-07,0,-1.0469815731048584
0.34185299380260403,-0.03562292829155922,-8.850586930009285e-08,0,-1.0353327989578247
0.35189999362046365,-0.030450984835624695,-1.9831498943023718e-07,0,-1.0425275564193726
0.36194699343832326,-0.032479602843523026,-1.3910431140295998e-07,0,-1.0435553789138794
0.3719939932561829,-0.037042271345853806,-1.303014918185852e-07,0,-1.0346475839614868
0.3820409930740425,-0.03242327645421028,-1.8391675682405406e-07,0,-1.0473241806030273
0.3920879928919021,-0.0405580997467041,-7.188424161475027e-08,0,-1.0353327989578247
0.4021349927097617,-0.03562913089990616,-1.812227451436499e-07,0,-1.0421849489212036
0.41223299252669676,-0.037090741097927094,-1.314450354117369e-07,0,-1.043898105621338
0.4222799923445564,-0.04241731017827988,-1.1036553615451083e-07,0,-1.033962368965149
0.432326992162416,-0.037443842738866806,-1.7476285696371718e-07,0,-1.0473241806030273
0.4423739919802756,-0.04534600302577019,-6.274796654492931e-08,0,-1.0360180139541626
0.4524209917981352,-0.04078102856874466,-1.721860570791378e-07,0,-1.0414997339248657
0.46246799161599483,-0.04178033769130707,-1.3085801886525417e-07,0,-1.0452685356140137
0.47251499143385445,-0.04768387973308563,-1.0132130551232521e-07,0,-1.03361976146698
0.48256199125171406,-0.04243353754281998,-1.738901800329984e-07,0,-1.0473241806030273
0.4926089910695737,-0.05026610195636749,-5.956721227384776e-08,0,-1.0370458364486694
0.5026559908874333,-0.046070169657468796,-1.6358056575960234e-07,0,-1.0411571264266968
0.5127029907052929,-0.046700868755578995,-1.2655086700785745e-07,0,-1.0452685356140137
0.522800990522228,-0.05319277569651604,-8.404347356938402e-08,0,-1.0346475839614868
0.5328479903400876,-0.0475107878446579,-1.6422438409158246e-07,0,-1.0466389656066895
0.5428949901579472,-0.054877523332834244,-5.261607816109404e-08,0,-1.0377310514450073
0.5529419899758068,-0.0512080080807209,-1.548828149067205e-07,0,-1.0404719114303589
0.5629889897936664,-0.05140186473727226,-1.2643119884359066e-07,0,-1.0456111431121826
0.573035989611526,-0.05835087597370148,-7.586071354426238e-08,0,-1.033962368965149
0.5830829894293856,-0.05253041535615921,-1.6209737718764217e-07,0,-1.0459537506103516
0.5931299892472452,-0.059579022228717804,-5.231589467191711e-08,0,-1.0384162664413452
0.6031769890651049,-0.05647550895810127,-1.477020866724743e-07,0,-1.04012930393219
0.6132239888829645,-0.056230369955301285,-1.2547640704241303e-07,0,-1.0459537506103516
0.6233219886998995,-0.06363590806722641,-6.463864166139643e-08,0,-1.03361976146698
0.6333689885177591,-0.057619281113147736,-1.572791896720105e-07,0,-1.0462963581085205
0.6434159883356187,-0.06416210532188416,-5.081942852647181e-08,0,-1.0384162664413452
0.6534629881534784,-0.06169498339295387,-1.4025294814423717e-07,0,-1.04012930393219
0.663509987971338,-0.06105108931660652,-1.2567137608332501e-07,0,-1.0456111431121826
0.6735569877891976,-0.06877323240041733,-5.738342787053874e-08,0,-1.0343049764633179
0.6836039876070572,-0.06260659545660019,-1.5634656069796193e-07,0,-1.0462963581085205
0.6936509874249168,-0.0687396228313446,-5.474522918325064e-08,0,-1.039101481437683
0.7036979872427764,-0.06700222939252853,-1.358279461127765e-07,0,-1.0387588739395142
0.713744987060636,-0.06598597019910812,-1.2680768934902886e-07,0,-1.0462963581085205
0.7237919868784957,-0.07393753528594971,-5.040544370782385e-08,0,-1.033962368965149
0.7338899866954307,-0.06770238280296326,-1.546591882339854e-07,0,-1.0466389656066895
0.7439369865132903,-0.07320897281169891,-5.904793320965496e-08,0,-1.04012930393219
0.7539839863311499,-0.07231581956148148,-1.3062423365184372e-07,0,-1.0380736589431763
0.7640309861490095,-0.07087108492851257,-1.2880978228491102e-07,0,-1.0469815731048584
0.7740779859668692,-0.07900173962116241,-4.5129611853100826e-08,0,-1.0343049764633179
0.7841249857847288,-0.07285816967487335,-1.5119040741584655e-07,0,-1.0459537506103516
0.7941719856025884,-0.07777395099401474,-6.068193864061655e-08,0,-1.04012930393219
0.804218985420448,-0.0776812732219696,-1.2338513544207785e-07,0,-1.0370458364486694
0.8142659852383076,-0.07573681324720383,-1.3077272598138734e-07,0,-1.0473241806030273
0.8243129850561672,-0.08404775708913803,-4.2273587408381275e-08,0,-1.0343049764633179
0.8344109848731023,-0.07794704288244247,-1.5213573456573926e-07,0,-1.0449259281158447
0.8444579846909619,-0.08226507157087326,-6.795240065082808e-08,0,-1.0408145189285278
0.8545049845088215,-0.08317206054925919,-1.160375684428061e-07,0,-1.0367032289505005
0.8645519843266811,-0.08072341233491898,-1.3132306353469403e-07,0,-1.0469815731048584
0.8745989841445407,-0.08908253163099289,-3.7798163904367854e-08,0,-1.0343049764633179
0.8846459839624004,-0.08306359499692917,-1.5003413789127507e-07,0,-1.043898105621338
0.89469298378026,-0.08684389293193817,-7.226233500468027e-08,0,-1.0411571264266968
0.9047399835981196,-0.0885448008775711,-1.0998944116602516e-07,0,-1.0356754064559937
0.9147869834159792,-0.08564235270023346,-1.3431059042723348e-07,0,-1.0473241806030273
0.9248339832338388,-0.09404849261045456,-3.621727917568762e-08,0,-1.0349901914596558
0.9348809830516984,-0.08824844658374786,-1.491984730206397e-07,0,-1.0435553789138794
0.9449789828686335,-0.09144579619169235,-7.766752518900688e-08,0,-1.0418423414230347
0.9550259826864931,-0.09404215216636658,-1.0120948523706375e-07,0,-1.0353327989578247
0.9650729825043527,-0.09066342562437057,-1.3473340498837416e-07,0,-1.0466389656066895
0.9751199823222123,-0.09898331016302109,-3.280718405274108e-08,0,-1.0353327989578247
0.9851669821400719,-0.09337978810071945,-1.466771842872916e-07,0,-1.0432127714157104
0.9952139819579315,-0.09608461707830429,-8.208672630516389e-08,0,-1.0414997339248657
1.0052609817757912,-0.09946104139089584,-9.514865284554475e-08,0,-1.0353327989578247
1.0153079815936508,-0.09568117558956146,-1.371513735914931e-07,0,-1.0473241806030273
1.0253549814115104,-0.10395166277885437,-3.1020540303128286e-08,0,-1.0349901914596558
1.03540198122937,-0.0986347496509552,-1.4376587420539266e-07,0,-1.0428701639175415
1.045499981046305,-0.10083653777837753,-8.463049705476067e-08,0,-1.0435553789138794
1.0555469808641647,-0.10508072376251221,-8.378172461354083e-08,0,-1.033962368965149
1.0655939806820243,-0.10065191239118576,-1.3640552576354992e-07,0,-1.0469815731048584
1.0756409804998839,-0.10881716758012772,-2.825330247535618e-08,0,-1.0349901914596558
1.0856879803177435,-0.10379523783922195,-1.404689559114658e-07,0,-1.0425275564193726
1.095734980135603,-0.10554691404104233,-8.820093266859175e-08,0,-1.0432127714157104
1.1057819799534627,-0.11047422140836716,-7.654939182533127e-08,0,-1.0346475839614868
1.1158289797713223,-0.1056484580039978,-1.380547898222062e-07,0,-1.0469815731048584
1.125875979589182,-0.1138024628162384,-2.7246815914594436e-08,0,-1.0353327989578247
1.1359229794070416,-0.10905437171459198,-1.3778295171462673e-07,0,-1.0418423414230347
1.1459699792249012,-0.1102776899933815,-9.175920440140928e-08,0,-1.0445833206176758
1.1560679790418362,-0.11594618856906891,-6.73374273008065e-08,0,-1.03361976146698
1.1661149788596958,-0.11071885377168655,-1.3799887621512852e-07,0,-1.0469815731048584
1.1761619786775555,-0.11865793913602829,-2.5640918208114094e-08,0,-1.0360180139541626
1.186208978495415,-0.11420374363660812,-1.3492144901317005e-07,0,-1.0411571264266968
1.1962559783132747,-0.11507151275873184,-9.573567633092139e-08,0,-1.0445833206176758
1.2063029781311343,-0.12128892540931702,-6.051167900089638e-08,0,-1.033962368965149
1.216349977948994,-0.11573155969381332,-1.3831145950771173e-07,0,-1.0469815731048584
1.2263969777668535,-0.12339145690202713,-2.619855721253117e-08,0,-1.0370458364486694
